Rank	Rating	Title	Votes
131.	8.1	Ben-Hur (1959)	35,113
132.	8.1	Life of Brian (1979)	57,082
133.	8.1	Ladri di biciclette (1948)	13,937
134.	8.1	Children of Men (2006)	71,202
135.	8.1	V for Vendetta (2005)	111,792
136.	8.1	The Deer Hunter (1978)	51,214
137.	8.1	The Killing (1956)	13,274
138.	8.1	Die Hard (1988)	105,191
139.	8.1	Platoon (1986)	63,671
140.	8.1	Notti di Cabiria, Le (1957)	5,332
141.	8.1	Crash (2004/I)	97,236
142.	8.1	Diaboliques, Les (1955)	6,955
143.	8.1	The Princess Bride (1987)	84,009
144.	8.1	Battaglia di Algeri, La (1966)	6,382
145.	8.1	The Graduate (1967)	47,342
146.	8.1	Letters from Iwo Jima (2006)	20,669
147.	8.1	It Happened One Night (1934)	13,860
148.	8.1	Kind Hearts and Coronets (1949)	6,896
149.	8.1	Amores perros (2000)	33,186
150.	8.1	SmultronstÃ¤llet (1957)	10,953
151.	8.1	The Wild Bunch (1969)	18,350
152.	8.0	Butch Cassidy and the Sundance Kid (1969)	34,031
153.	8.0	Gandhi (1982)	28,215
154.	8.0	Shadow of a Doubt (1943)	11,060
155.	8.0	Kill Bill: Vol. 2 (2004)	100,734
156.	8.0	Superbad (2007)	32,808
157.	8.0	Judgment at Nuremberg (1961)	7,214
158.	8.0	Dog Day Afternoon (1975)	30,557
159.	8.0	Little Miss Sunshine (2006)	69,704
160.	8.0	The General (1927)	11,376
161.	8.0	8Â½ (1963)	15,471
162.	8.0	The African Queen (1951)	21,857
163.	8.0	Brief Encounter (1945)	6,320
164.	8.0	The Adventures of Robin Hood (1938)	13,326
165.	8.0	Stand by Me (1986)	53,289
166.	8.0	Wo hu cang long (2000)	76,256
167.	8.0	The Night of the Hunter (1955)	13,692
168.	8.0	Heat (1995)	82,271
169.	8.0	Hot Fuzz (2007)	56,150
170.	8.0	The Conversation (1974)	18,461
171.	8.0	Harvey (1950)	13,450
172.	8.0	The Big Lebowski (1998)	95,516
173.	8.0	Gone with the Wind (1939)	47,911
174.	8.0	Nosferatu, eine Symphonie des Grauens (1922)	15,923
175.	8.0	Duck Soup (1933)	16,266
176.	8.0	The Grapes of Wrath (1940)	13,449
177.	8.0	Cabinet des Dr. Caligari., Das (1920)	8,619
